review_id,review_timestamp,review_grade,review_comment
1,2023-01-02 12:30:00,7,Very talented group! #Talent
2,2023-01-05 15:45:23,8,Loved the atmosphere when this group performs!
3,2023-01-07 19:00:00,9,Impressive song-writing.
4,2023-01-10 20:15:10,6,"Decent group, but they can still improve."
5,2023-01-15 18:30:00,7,"Enjoyable songs, but nothing incredible."
6,2023-01-20 21:00:00,5,Mediocre at best.
7,2023-01-25 13:00:00,8,One of my favorite groups of all time! #Favorite
8,2023-02-01 19:00:00,8,"Great venue, but public transport access could be improved."
9,2023-02-05 15:45:23,4,Not worth the ticket price. Frustrating experience. #NotWorthIt
10,2023-02-10 19:30:00,10,This was the best event I've been to in years!
11,2023-02-15 18:45:00,8,Great event but the food was overpriced.
12,2023-02-20 19:15:00,6,"The event was okay, but the seats were uncomfortable."
13,2023-02-25 20:00:00,10,Amazing experience! Can't wait for the next event.
14,2023-03-02 16:00:00,9,Incredible event! Had an amazing time. #Incredible #Awesome
15,2023-03-05 13:00:00,8,This track has a catchy melody and brilliant instrumentals.
16,2023-03-10 17:30:00,7,Somewhat predictable and could use a little more originality.
17,2023-03-15 20:00:00,10,An absolute masterpiece! Hits me right in the feels every time I listen to it.
18,2023-03-20 14:00:00,6,"This song has a nice beat to it, but the lyrics are quite clichéd."
19,2023-03-25 18:00:00,5,The melody is alright but the lyrics and vocals are lacking.
20,2023-04-01 19:00:00,8,"The melody is catchy, and the lyrics have some depth. #ILikeIt"
21,2023-04-05 20:00:00,9,This is an outstanding song with a powerful message. 
22,2023-04-10 13:30:00,7,"Good place, but not enough seats. #Tired"
23,2023-04-15 19:00:00,8,Impressive venue. A bit chilly though. #GoodView #Cold
24,2023-04-20 20:30:00,8,"Great venue, but public transport access could be improved."
25,2023-04-25 16:00:00,6,The view was mediocre. Expected better.
26,2023-04-30 18:30:00,7,"Good, but the lineup for restrooms was too long. #Waiting"
27,2023-05-05 17:00:00,10,#Fantastic experience! Will definitely return.
28,2023-05-10 20:00:00,9,"Excellent location, friendly staff, overall great experience. #FriendlyStaff"
29,2023-05-15 17:00:00,9,"Beautiful lyrics that hit home. Instrumentals are quite moving as well."
30,2023-05-20 13:30:00,7,"Good beat but the lyrics lacked originality."
31,2023-05-25 21:00:00,5,"I found the track to be a bit repetitive, it needs more variation."
32,2023-05-30 19:45:00,10,"A masterful composition. The melody is captivating, and the lyrics are thought-provoking."
33,2023-06-05 15:00:00,6,"The track is okay, but it does not stand out in the album."
34,2023-06-10 17:00:00,8,"A solid track overall, great chorus. Could do with better bridge though."
35,2023-06-15 20:00:00,7,"Enjoyed the instrumentals, but the vocals seemed off key at times."
36,2023-06-20 18:00:00,4,"The lyrics are unimpressive and the beat is monotonous."
37,2023-06-25 14:00:00,9,"Powerful vocals with heart-touching lyrics. This track is a real gem."
38,2023-06-30 20:30:00,7,"Decent track but it doesn't quite match the quality of the rest of the album."
39,2023-07-05 16:00:00,8,"Loved the acoustic version of this track. It feels raw and genuine."
40,2023-07-10 12:00:00,10,"What a track! It's been on repeat all day. The melody is infectious!"
41,2023-07-15 15:30:00,5,"The melody is quite dull and the lyrics are cliché. Disappointing."
42,2023-07-20 18:30:00,9,"Impressive song with a catchy hook and well-written lyrics. It's been stuck in my head all day."
43,2023-07-25 19:00:00,6,"This track had potential, but it feels unfinished and rushed."
