organizer_id,user_id,organizer_name,location
1,41,Live Nation,"London, UK"
2,42,AEG Presents,"Los Angeles, USA"
3,43,C3 Presents,"Chicago, USA"
4,44,Goldenvoice,"San Francisco, USA"
5,45,Another Planet Entertainment,"Oakland, USA"
6,46,The Bowery Presents,"New York, USA"
7,47,Superfly Presents,"Nashville, USA"
8,48,Frontier Touring,"Melbourne, Australia"
9,49,FKP Scorpio,"Hamburg, Germany"
10,50,Kilimanjaro Live,"London, UK"
11,51,SJM Concerts,"Manchester, UK"
12,52,MCD Productions,"Dublin, Ireland"
13,53,Primavera Sound,"Barcelona, Spain"
14,54,Rock Werchter,"Leuven, Belgium"
15,55,Roskilde Festival,"Roskilde, Denmark"
16,56,Hellfest,"Clisson, France"
17,57,Rock am Ring,"Nürburg, Germany"
18,58,Summer Sonic,"Tokyo, Japan"
19,59,Rock in Rio,"Rio de Janeiro, Brazil"
20,60,Lollapalooza,"Sao Paulo, Brazil"
